Pi_Time_Source,Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Firefly_Detection,Pi_Receive_Time
internet,20:45:16,26.5,91.8,OFF,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:21,26.5,91.8,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:26,26.5,91.7,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:31,26.5,91.6,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:36,26.5,91.6,ON,OFF,No fireflies detected,2026-02-14 20:09:57
internet,20:45:41,27.2,91.5,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:46,26.6,91.4,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:51,26.6,91.4,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:45:56,26.6,91.3,OFF,ON,No fireflies detected,2026-02-14 20:09:57
internet,20:46:01,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:09:58
internet,20:46:06,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:10:03
internet,20:46:11,26.6,91.3,OFF,OFF,No fireflies detected,2026-02-14 20:10:08
internet,20:46:16,26.6,91.2,OFF,OFF,Strong light detected,2026-02-14 20:10:27
internet,20:46:21,27.3,91.2,OFF,OFF,Strong light detected,2026-02-14 20:10:47
internet,20:46:26,26.6,91.1,OFF,OFF,Strong light detected,2026-02-14 20:47:16
internet,20:46:31,26.0,91.1,OFF,OFF,Strong light detected,2026-02-14 20:47:21
internet,20:46:36,26.6,91.1,OFF,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:46:41,26.6,91.1,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:46:46,26.7,91.1,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:46:51,26.7,91.1,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:46:56,26.7,91.0,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:01,26.7,91.0,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:06,26.7,91.0,ON,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:11,26.7,91.0,OFF,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:16,26.7,91.0,OFF,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:21,26.7,91.0,OFF,OFF,Strong light detected,2026-02-14 20:47:22
internet,20:47:26,26.7,90.9,OFF,OFF,Strong light detected,2026-02-14 20:47:26
internet,20:47:31,26.7,90.9,OFF,OFF,Strong light detected,2026-02-14 20:47:31
internet,20:47:36,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:47:45
internet,20:47:41,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:47:56
internet,20:47:46,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:47:56
internet,20:47:51,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:47:56
internet,20:47:57,26.7,90.9,OFF,OFF,No fireflies detected,2026-02-14 20:47:57
